SNP	Phenotype	Gene(Tissues)	Gene(Tissue Count)
rs19298	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Whole_Blood)"	MAPK1(41)
rs202492	pheno1	"PRKN(Brain_Anterior_cingulate_cortex_BA24,Brain_Cortex),MAPK1(Brain_Nucleus_accumbens_basal_ganglia,Colon_Sigmoid,Heart_Left_Ventricle,Muscle_Skeletal,Nerve_Tibial,Skin_Sun_Exposed_Lower_leg,Testis)"	"PRKN(2),MAPK1(7)"
rs222507	pheno7	"MAPK1(Adipose_Subcutaneous,Brain_Cerebellar_Hemisphere,Cells_Transformed_fibroblasts,Colon_Transverse,Nerve_Tibial,Thyroid,Whole_Blood),PHACTR3,PPIL4(Muscle_Skeletal)"	"MAPK1(7),PHACTR3,PPIL4(1)"
rs249869	pheno4	"MAPK1(Brain_Cortex,Brain_Hippocampus,Esophagus_Gastroesophageal_Junction,Muscle_Skeletal,Whole_Blood)"	MAPK1(5)
rs260304	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Hippocampus,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Stomach,Testis,Thyroid,Vagina,Whole_Blood),HS3ST5(Brain_Cortex)"	"MAPK1(34),HS3ST5(1)"
rs260944	pheno3	"MAPK1(Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Esophagus_Mucosa,Heart_Atrial_Appendage,Liver,Nerve_Tibial,Testis,Uterus,Whole_Blood)"	MAPK1(10)
rs283238	pheno5	"MAPK1(Adrenal_Gland,Cells_Transformed_fibroblasts,Pituitary,Spleen,Stomach,Testis,Thyroid)"	MAPK1(7)
rs283968	pheno7	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Putamen_basal_ganglia,Cells_Transformed_fibroblasts,Colon_Sigmoid,Esophagus_Mucosa,Heart_Atrial_Appendage,Lung,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis)"	MAPK1(15)
rs303963	pheno5	"MAPK1(Brain_Anterior_cingulate_cortex_BA24,Brain_Putamen_basal_ganglia,Testis,Vagina)"	MAPK1(4)
rs312014	pheno7	"NDST2(Adipose_Subcutaneous,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Nucleus_accumbens_basal_ganglia,Colon_Transverse,Esophagus_Muscularis,Thyroid),MAPK1(Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Amygdala,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Esophagus_Mucosa,Heart_Left_Ventricle,Liver,Lung,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Whole_Blood),FAM234A(Cells_Transformed_fibroblasts)"	"NDST2(8),MAPK1(25),FAM234A(1)"
rs316112	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellum,Brain_Cortex,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood),NPFF(Brain_Cerebellar_Hemisphere),PPTC7(Brain_Frontal_Cortex_BA9),EXOC3L4(Breast_Mammary_Tissue)"	"MAPK1(45),NPFF(1),PPTC7(1),EXOC3L4(1)"
rs327278	pheno10	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Thyroid,Uterus,Vagina,Whole_Blood),YWHAZ(Muscle_Skeletal,Skin_Sun_Exposed_Lower_leg),TBC1D24(Testis)"	"MAPK1(44),YWHAZ(2),TBC1D24(1)"
rs328437	pheno9	"MAPK1(Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Putamen_basal_ganglia,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Testis,Thyroid,Whole_Blood)"	MAPK1(24)
rs364963	pheno5	"MAPK1(Adrenal_Gland,Artery_Aorta,Brain_Anterior_cingulate_cortex_BA24,Brain_Putamen_basal_ganglia,Cells_Transformed_fibroblasts,Liver,Nerve_Tibial,Pancreas,Thyroid,Uterus),GRP(Artery_Tibial)"	"MAPK1(10),GRP(1)"
rs368591	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Vagina,Whole_Blood)"	MAPK1(43)
rs369886	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Colon_Sigmoid,Esophagus_Muscularis,Heart_Atrial_Appendage,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Testis)"	MAPK1(15)
rs374303	pheno9	"TRIT1(Adipose_Subcutaneous,Skin_Sun_Exposed_Lower_leg),MAPK1(Adrenal_Gland,Cells_Transformed_fibroblasts,Pancreas,Skin_Not_Sun_Exposed_Suprapubic)"	"TRIT1(2),MAPK1(4)"
rs375571	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Spinal_cord_cervical_c-1,Cells_Transformed_fibroblasts,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Muscle_Skeletal,Ovary,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg)"	MAPK1(15)
rs376124	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Putamen_basal_ganglia,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid),RUNX2(Whole_Blood)"	"MAPK1(29),RUNX2(1)"
rs380332	pheno7	"MAPK1(Adipose_Subcutaneous,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Liver,Lung,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen,Stomach,Testis,Thyroid,Vagina)"	MAPK1(29)
rs387523	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Coronary,Brain_Cerebellum,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Liver,Lung,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Spleen,Testis,Whole_Blood),STRN3(Pancreas)"	"MAPK1(18),STRN3(1)"
rs408465	pheno7	"TENM2,PCP4(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Cells_Transformed_fibroblasts,Muscle_Skeletal),TENM2(Adrenal_Gland,Brain_Amygdala,Brain_Caudate_basal_ganglia,Brain_Cortex,Brain_Hypothalamus,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Cells_EBV-transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Heart_Left_Ventricle,Nerve_Tibial,Ovary,Small_Intestine_Terminal_Ileum,Stomach,Testis,Whole_Blood),PCP4(Artery_Aorta,Brain_Spinal_cord_cervical_c-1,Esophagus_Mucosa,Esophagus_Muscularis,Lung,Skin_Sun_Exposed_Lower_leg),MAPK1(Artery_Coronary,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Frontal_Cortex_BA9,Brain_Nucleus_accumbens_basal_ganglia,Breast_Mammary_Tissue,Heart_Atrial_Appendage,Liver,Minor_Salivary_Gland,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Spleen,Thyroid),SRRM5(Brain_Cerebellum)"	"TENM2,PCP4(4),TENM2(18),PCP4(6),MAPK1(15),SRRM5(1)"
rs422675	pheno3	"MAPK1(Adipose_Visceral_Omentum,Artery_Tibial,Brain_Nucleus_accumbens_basal_ganglia,Cells_Transformed_fibroblasts,Nerve_Tibial,Skin_Sun_Exposed_Lower_leg,Testis,Vagina)"	MAPK1(8)
rs427477	pheno4	"MAPK1(Artery_Aorta,Brain_Frontal_Cortex_BA9,Cells_Transformed_fibroblasts,Esophagus_Muscularis,Muscle_Skeletal,Nerve_Tibial,Skin_Sun_Exposed_Lower_leg,Testis)"	MAPK1(8)
rs44329	pheno7	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Aorta,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Nucleus_accumbens_basal_ganglia,Breast_Mammary_Tissue,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Muscularis,Heart_Left_Ventricle,Lung,Nerve_Tibial,Pancreas,Testis,Whole_Blood),ENSA(Thyroid)"	"MAPK1(18),ENSA(1)"
rs464886	pheno8	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Frontal_Cortex_BA9,Brain_Putamen_basal_ganglia,Brain_Substantia_nigra,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Esophagus_Mucosa,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Pancreas,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Stomach,Testis,Thyroid,Vagina,Whole_Blood),BRD8(Brain_Caudate_basal_ganglia,Brain_Cortex,Brain_Nucleus_accumbens_basal_ganglia)"	"MAPK1(23),BRD8(3)"
rs477561	pheno2	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Whole_Blood)"	MAPK1(39)
rs48804	pheno5	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Esophagus_Mucosa,Esophagus_Muscularis,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Spleen)"	MAPK1(16)
rs49169	pheno6	"TCEAL7(Adipose_Subcutaneous,Ovary),MAPK1(Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood),PRND(Brain_Cerebellum,Brain_Hippocampus)"	"TCEAL7(2),MAPK1(44),PRND(2)"
rs493175	pheno1	"MAPK1(Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood),CDKN3(Brain_Cortex,Nerve_Tibial)"	"MAPK1(46),CDKN3(2)"
rs501592	pheno6	"MAPK1(Adrenal_Gland,Artery_Aorta,Artery_Tibial,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Mucosa,Heart_Atrial_Appendage,Heart_Left_Ventricle,Pancreas,Pituitary,Skin_Sun_Exposed_Lower_leg,Thyroid,Whole_Blood)"	MAPK1(16)
rs509095	pheno6	"MAPK1(Adipose_Subcutaneous,Artery_Aorta,Artery_Tibial,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Cells_EBV-transformed_lymphocytes,Cells_Transformed_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Lung,Muscle_Skeletal,Nerve_Tibial,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Testis,Thyroid,Vagina,Whole_Blood)"	MAPK1(29)
rs512556	pheno1	"MAPK1(Nerve_Tibial,Thyroid)"	MAPK1(2)
